SiteFK,nSurveys,pubID
77,5791,1
78,2957,1
50,116,2
51,20,2
52,40,2
55,70,2
56,225,2
60,478,2
73,64,2
76,59,2
77,959,2
78,636,2
89,34,2
93,60,2
95,27,2
96,89,2
97,89,2
99,41,2
100,145,2
101,114,2
106,239,2
107,83,2
158,26,2
162,75,2
165,38,2
166,112,2
167,30,2
170,74,2
171,114,2
172,60,2
173,121,2
175,210,2
179,50,2
181,65,2
182,56,2
183,64,2
184,198,2
189,58,2
191,20,2
192,22,2
193,41,2
50,205,3
54,301,3
56,275,3
60,2505,3
67,780,3
68,169,3
76,262,3
77,10995,3
78,7736,3
93,188,3
96,416,3
97,367,3
100,633,3
101,441,3
106,299,3
165,NA,3
166,172,3
170,NA,3
176,9139,3
177,13066,3
179,200,3
181,NA,3
183,NA,3
184,372,3
188,NA,3
191,NA,3
192,NA,3
193,NA,3
196,NA,3
210,194,3
213,233,3
214,263,3
216,329,3
221,528,3
225,180,3
60,887,4
68,225,4
78,1917,4
197,269,4
301,223,4
310,251,4
231,908,5
269,942,5
312,831,5
321,828,5
231,652,6
269,595,6
312,831,6
313,536,6
316,591,6
318,590,6
319,591,6
320,558,6
321,828,6
322,576,6
50,250,7
51,907,7
52,830,7
54,241,7
55,312,7
56,1201,7
57,246,7
59,4,7
60,3253,7
63,11,7
66,128,7
67,545,7
68,258,7
69,11,7
70,25,7
71,78,7
73,636,7
74,41,7
76,252,7
77,14544,7
78,9309,7
89,428,7
90,30,7
92,12,7
93,1148,7
95,664,7
96,327,7
97,372,7
99,141,7
100,1058,7
101,417,7
104,82,7
105,41,7
106,990,7
107,525,7
114,103,7
115,73,7
117,142,7
118,5,7
119,76,7
120,103,7
121,68,7
122,69,7
123,113,7
124,102,7
125,105,7
127,7,7
128,76,7
130,69,7
131,134,7
132,126,7
133,175,7
134,146,7
135,71,7
136,137,7
137,4,7
138,8,7
139,8,7
140,6,7
141,133,7
142,138,7
143,7,7
144,9,7
145,8,7
146,8,7
147,8,7
148,8,7
158,12,7
160,9,7
161,15,7
162,486,7
163,19,7
164,6,7
165,78,7
166,111,7
167,290,7
170,144,7
171,220,7
172,116,7
173,149,7
175,440,7
179,322,7
181,540,7
182,131,7
183,330,7
184,329,7
188,36,7
189,68,7
191,108,7
192,424,7
193,638,7
194,27,7
196,388,7
197,528,7
199,460,7
201,90,7
208,56,7
210,146,7
213,232,7
214,218,7
216,161,7
217,68,7
218,37,7
219,32,7
220,262,7
221,393,7
223,39,7
225,903,7
226,66,7
231,692,7
233,20,7
235,290,7
239,490,7
240,23,7
244,105,7
245,204,7
248,110,7
249,606,7
250,30,7
251,198,7
252,182,7
255,296,7
256,60,7
257,148,7
258,330,7
259,20,7
267,943,7
268,217,7
269,656,7
270,203,7
272,23,7
273,114,7
274,79,7
276,18,7
278,560,7
297,89,7
298,135,7
301,113,7
305,342,7
308,196,7
309,16,7
310,812,7
311,88,7
312,590,7
313,398,7
315,104,7
316,376,7
317,69,7
318,451,7
319,373,7
320,365,7
321,612,7
322,392,7
323,115,7
324,50,7
325,43,7
327,159,7
328,7,7
329,286,7
330,146,7
331,28,7
332,30,7
336,36,7
337,129,7
344,209,7
347,264,7
348,10,7
353,79,7
355,178,7
357,105,7
358,104,7
359,105,7
361,553,7
362,29,7
363,22,7
364,20,7
365,1,7
366,1,7
367,35,7
368,11,7
369,2,7
370,1,7
371,35,7
372,25,7
373,18,7
375,195,7
376,115,7
377,32,7
378,16,7
379,164,7
381,2,7
382,15,7
383,1,7
394,13,7
395,103,7
396,160,7
397,285,7
398,325,7
399,151,7
400,237,7
401,270,7
403,121,7
404,236,7
406,383,7
407,310,7
408,182,7
409,13,7
410,180,7
412,91,7
413,156,7
415,34,7
420,30,7
421,26,7
429,60,7
431,74,7
432,126,7
433,30,7
435,60,7
